Rank,School,Cost_Score_100,Quality_Score_100,Optimized_Score_100,Monthly_Cost_IDR,Year1_Cost_IDR,Year2_Cost_IDR
1,Akhyar IIS,91.5,66.36,76.14,1140000,35230000,13680000
2,Kiwi Kids,82.67,86.18,84.82,1515000,25250000,18180000
3,Salsabila Islamic School,58.74,76.36,69.51,1905000,44965000,22860000
4,Unity School,55.3,91.27,77.28,2103333,43640000,25240000
5,Sekolah Alam Bekasi,52.97,70.36,63.6,2350000,39850000,28200000
6,Kidea Bekasi Timur,52.83,86.18,73.21,2692500,32660000,32310000
7,Madina Islamic School Galaxy,47.08,89.09,72.75,2583333,46800000,31000000
8,Nassa School,44.79,93.82,74.75,2555917,55809004,30671004
9,Little Key,43.51,84.0,68.25,2906667,47180000,34880000
10,Islamic Green School,42.0,69.09,58.56,3070833,47300000,36850000
11,Almacita School,40.28,90.0,70.66,2880000,60260000,34560000
12,HighScope Bekasi,37.19,92.55,71.02,3476667,53220004,41720004
13,Kinderfield Bekasi,35.79,96.18,72.7,3415000,60980004,40980004
14,Al-Azhar 11 Kemang,35.47,84.91,65.68,3266667,68615000,39200000
15,Embun Pagi Islamic School,29.25,83.64,62.49,4238333,72660000,50860000
16,Global Prestasi School,26.36,92.55,66.81,4395000,92340000,52740000
17,Sekolah Victory Plus (SVP),26.22,93.82,67.53,4500000,89300000,54000000
