Rank,School,Optimized_Score_100,Quality_Score_100,Cost_Score_100,Monthly_Cost_IDR,Year1_Cost_IDR,Year2_Cost_IDR
1,Kiwi Kids,84.82,86.18,82.67,1515000,25250000,18180000
2,Unity School,77.28,91.27,55.3,2103333,43640000,25240000
3,Akhyar IIS,76.14,66.36,91.5,1140000,35230000,13680000
4,Nassa School,74.75,93.82,44.79,2555917,55809004,30671004
5,Kidea Bekasi Timur,73.21,86.18,52.83,2692500,32660000,32310000
6,Madina Islamic School Galaxy,72.75,89.09,47.08,2583333,46800000,31000000
7,Kinderfield Bekasi,72.7,96.18,35.79,3415000,60980004,40980004
8,HighScope Bekasi,71.02,92.55,37.19,3476667,53220004,41720004
9,Almacita School,70.66,90.0,40.28,2880000,60260000,34560000
10,Salsabila Islamic School,69.51,76.36,58.74,1905000,44965000,22860000
11,Little Key,68.25,84.0,43.51,2906667,47180000,34880000
12,Sekolah Victory Plus (SVP),67.53,93.82,26.22,4500000,89300000,54000000
13,Global Prestasi School,66.81,92.55,26.36,4395000,92340000,52740000
14,Al-Azhar 11 Kemang,65.68,84.91,35.47,3266667,68615000,39200000
15,Sekolah Alam Bekasi,63.6,70.36,52.97,2350000,39850000,28200000
16,Embun Pagi Islamic School,62.49,83.64,29.25,4238333,72660000,50860000
17,Islamic Green School,58.56,69.09,42.0,3070833,47300000,36850000
