Rank,School,Quality_Score_100,Cost_Score_100,Optimized_Score_100,Monthly_Cost_IDR,Year1_Cost_IDR,Year2_Cost_IDR
1,Kinderfield Bekasi,96.18,35.79,72.7,3415000,60980004,40980004
2,Nassa School,93.82,44.79,74.75,2555917,55809004,30671004
3,Sekolah Victory Plus (SVP),93.82,26.22,67.53,4500000,89300000,54000000
4,HighScope Bekasi,92.55,37.19,71.02,3476667,53220004,41720004
5,Global Prestasi School,92.55,26.36,66.81,4395000,92340000,52740000
6,Unity School,91.27,55.3,77.28,2103333,43640000,25240000
7,Almacita School,90.0,40.28,70.66,2880000,60260000,34560000
8,Madina Islamic School Galaxy,89.09,47.08,72.75,2583333,46800000,31000000
9,Kiwi Kids,86.18,82.67,84.82,1515000,25250000,18180000
10,Kidea Bekasi Timur,86.18,52.83,73.21,2692500,32660000,32310000
11,Al-Azhar 11 Kemang,84.91,35.47,65.68,3266667,68615000,39200000
12,Little Key,84.0,43.51,68.25,2906667,47180000,34880000
13,Embun Pagi Islamic School,83.64,29.25,62.49,4238333,72660000,50860000
14,Salsabila Islamic School,76.36,58.74,69.51,1905000,44965000,22860000
15,Sekolah Alam Bekasi,70.36,52.97,63.6,2350000,39850000,28200000
16,Islamic Green School,69.09,42.0,58.56,3070833,47300000,36850000
17,Akhyar IIS,66.36,91.5,76.14,1140000,35230000,13680000
