School,Curriculum_Rating_1to5,Languages_Rating_1to5,Monthly_SPP_IDR,Annual_Fee_IDR,Registration_IDR,One_Time_Fee_IDR,Distance_OneWay_KM,Transport_Cost_per_KM_IDR,School_Days_Per_Month,Monthly_Transport_IDR,Monthly_Cost_IDR,Year1_Cost_IDR,Year2_Cost_IDR,TwoYear_Total_IDR,Continuity_Bonus_0to1,Cost_Rating_1to5,Quality_Score_100,Cost_Score_100,Optimized_Score_100,Notes
Embun Pagi Islamic School,4.0,4.5,2500000,7660000,800000,21000000,10.0,2500,22,1100000,4238333,72660000,50860000,123520000,0.5,1.46,83.64,29.25,62.49,Brochure fee data; distance estimated
Salsabila Islamic School,4.0,3.5,1300000,0,450000,21655000,5.5,2500,22,605000,1905000,44965000,22860000,67825000,0.5,2.94,76.36,58.74,69.51,Brochure fee data; distance estimated
Nassa School,4.8,4.5,1785917,0,750000,24388000,7.0,2500,22,770000,2555917,55809004,30671004,86480008,1.0,2.24,93.82,44.79,74.75,SPP converted from yearly fee; distance estimated
Little Key,4.2,4.2,1380000,3800000,300000,12000000,11.0,2500,22,1210000,2906667,47180000,34880000,82060000,0.5,2.18,84.0,43.51,68.25,Brochure fee data; distance estimated
Madina Islamic School Galaxy,4.6,4.2,1750000,6700000,0,15800000,2.5,2500,22,275000,2583333,46800000,31000000,77800000,1.0,2.35,89.09,47.08,72.75,Brochure fee data; distance estimated
Unity School,4.6,4.5,1700000,2200000,400000,18000000,2.0,2500,22,220000,2103333,43640000,25240000,68880000,1.0,2.76,91.27,55.3,77.28,Brochure fee data; distance estimated
Global Prestasi School,4.7,4.5,3900000,0,600000,39000000,4.5,2500,22,495000,4395000,92340000,52740000,145080000,1.0,1.32,92.55,26.36,66.81,SPP converted from quarter fee; distance estimated
Sekolah Victory Plus (SVP),4.8,4.5,3675000,0,0,35300000,7.5,2500,22,825000,4500000,89300000,54000000,143300000,1.0,1.31,93.82,26.22,67.53,SPP converted from term fee; distance estimated
HighScope Bekasi,4.7,4.5,2816667,0,0,11500000,6.0,2500,22,660000,3476667,53220004,41720004,94940008,1.0,1.86,92.55,37.19,71.02,SPP converted from term fee; distance estimated
Kinderfield Bekasi,4.7,5.0,1966667,5500000,0,20000000,9.0,2500,22,990000,3415000,60980004,40980004,101960008,1.0,1.79,96.18,35.79,72.7,SPP converted from term fee; distance estimated
Almacita School,4.5,4.5,2000000,0,700000,25000000,8.0,2500,22,880000,2880000,60260000,34560000,94820000,0.5,2.01,90.0,40.28,70.66,Brochure fee data; distance estimated
Kidea Bekasi Timur,4.2,4.5,1800000,6750000,350000,0,3.0,2500,22,330000,2692500,32660000,32310000,64970000,0.5,2.64,86.18,52.83,73.21,Annual fee midpoint used; distance estimated
Sekolah Alam Bekasi,4.1,2.5,925000,3900000,650000,11000000,10.0,2500,22,1100000,2350000,39850000,28200000,68050000,0.5,2.65,70.36,52.97,63.6,Brochure fee data; distance estimated
Al-Azhar 11 Kemang,4.5,3.8,2375000,800000,600000,28815000,7.5,2500,22,825000,3266667,68615000,39200000,107815000,1.0,1.77,84.91,35.47,65.68,Uang pangkal note includes TK-B field trip and uniform
Islamic Green School,4.0,2.5,990000,5170000,0,10450000,15.0,2500,22,1650000,3070833,47300000,36850000,84150000,0.5,2.1,69.09,42.0,58.56,Brochure fee data; distance estimated
Akhyar IIS,3.5,3.0,700000,0,550000,21000000,4.0,2500,22,440000,1140000,35230000,13680000,48910000,0.5,4.58,66.36,91.5,76.14,Brochure fee data; distance estimated
Kiwi Kids,4.2,4.5,1200000,1800000,300000,6770000,1.5,2500,22,165000,1515000,25250000,18180000,43430000,0.5,4.13,86.18,82.67,84.82,Brochure fee data; distance estimated
